Query_ID	Subject_ID	Pct_ID	Length	Mismatches	Gap_open	Query_start	Query_end	Subject_start	Subject_end	e-value	BitScore	Pct_positive_matches	Subject_FullName
cds.evm.model.10.1380	ERF4_TOBAC	68.333	60	19	0	1	60	1	60	3.14e-21	85.1	73.33	ERF4_TOBAC Ethylene-responsive transcription factor 4
cds.evm.model.02.398	HSPR2_ARATH	53.226	62	26	2	1	60	1	61	1.46e-12	63.2	74.19	HSPR2_ARATH Nematode resistance protein-like HSPRO2
cds.evm.model.01.3035	CEPR2_ARATH	54.762	42	18	1	19	60	22	62	4.76e-06	44.7	64.29	CEPR2_ARATH Receptor protein-tyrosine kinase CEPR2 {ECO:0000303|PubMed:25324386}
cds.evm.model.01.289	ORYB_ORYSJ	57.143	42	17	1	18	58	15	56	1.33e-06	46.2	66.67	ORYB_ORYSJ Oryzain beta chain
cds.evm.model.01.3066	APT5_ARATH	85.000	60	9	0	1	60	1	60	4.08e-33	114	96.67	APT5_ARATH Adenine phosphoribosyltransferase 5
cds.evm.model.10.1657	DCAM_NICSY	85.000	60	9	0	1	60	3	62	1.20e-27	104	90.00	DCAM_NICSY S-adenosylmethionine decarboxylase proenzyme
cds.evm.model.10.2043	SWT6B_ORYSJ	83.333	60	10	0	1	60	1	60	4.10e-30	108	90.00	SWT6B_ORYSJ Bidirectional sugar transporter SWEET6b
cds.evm.model.04.1733	ACA2_ARATH	83.333	60	9	1	1	60	1	59	5.89e-29	109	91.67	ACA2_ARATH Calcium-transporting ATPase 2, plasma membrane-type
cds.evm.model.04.642	ACA5_ORYSJ	85.714	56	8	0	1	56	458	513	6.93e-26	101	89.29	ACA5_ORYSJ Calcium-transporting ATPase 5, plasma membrane-type {ECO:0000305}
cds.evm.model.02.3191	NRMP1_POPTR	76.271	59	12	2	3	60	1	58	6.95e-22	89.7	86.44	NRMP1_POPTR Metal transporter Nramp1 {ECO:0000303|PubMed:20623158, ECO:0000303|PubMed:35700212}
cds.evm.model.09.191	WRK24_ORYSJ	45.000	60	29	2	2	59	82	139	7.31e-06	44.3	55.00	WRK24_ORYSJ WRKY transcription factor WRKY24 {ECO:0000303|PubMed:15047897}
cds.evm.model.08.1962	PBL16_ARATH	69.841	63	15	2	1	60	1	62	7.45e-18	78.2	77.78	PBL16_ARATH Probable serine/threonine-protein kinase PBL16 {ECO:0000305}
cds.evm.model.08.1483	ANX1_GOSHI	69.492	59	18	0	2	60	1	59	1.04e-22	90.5	74.58	ANX1_GOSHI Annexin Gh1 {ECO:0000303|PubMed:12787021, ECO:0000303|PubMed:16331990, ECO:0000303|PubMed:18441010}
cds.evm.model.10.1333	HIP28_ARATH	71.667	60	17	0	1	60	10	69	2.88e-25	93.6	86.67	HIP28_ARATH Heavy metal-associated isoprenylated plant protein 28 {ECO:0000303|PubMed:21072340, ECO:0000303|PubMed:23368984}
cds.evm.model.05.49	DMR6_ARATH	50.847	59	29	0	1	59	1	59	6.18e-15	69.7	72.88	DMR6_ARATH Protein DOWNY MILDEW RESISTANCE 6 {ECO:0000303|PubMed:15986928}
cds.evm.model.06.743.3.5bd9b13a	RHL1_LOTJA	89.831	59	6	0	2	60	171	229	2.91e-31	114	98.31	RHL1_LOTJA bHLH transcription factor RHL1 {ECO:0000303|PubMed:19675148}
cds.evm.model.06.743.1.5bd9b13a	RHL1_LOTJA	89.831	59	6	0	2	60	171	229	2.91e-31	114	98.31	RHL1_LOTJA bHLH transcription factor RHL1 {ECO:0000303|PubMed:19675148}
cds.evm.model.06.743.2.5bd9b13a	RHL1_LOTJA	89.831	59	6	0	2	60	171	229	2.91e-31	114	98.31	RHL1_LOTJA bHLH transcription factor RHL1 {ECO:0000303|PubMed:19675148}
cds.evm.model.07.908.1.5bd9b13c.1.5bdae6da	YCN8_SCHPO	46.774	62	29	2	1	60	371	430	1.09e-09	55.1	67.74	YCN8_SCHPO Uncharacterized solute carrier family 35 member C320.08
cds.evm.model.07.908	S35F1_MOUSE	64.151	53	19	0	8	60	125	177	1.19e-17	77.4	88.68	S35F1_MOUSE Solute carrier family 35 member F1
cds.evm.model.03.882	TP1A_MALDO	58.730	63	23	1	1	60	2	64	3.60e-16	72.0	68.25	TP1A_MALDO Thaumatin-like protein 1a
cds.evm.model.04.779.1.5bd9b137	GUN25_ARATH	91.667	60	3	2	1	60	1	58	3.11e-28	107	91.67	GUN25_ARATH Endoglucanase 25
cds.evm.model.04.779	GUN25_ARATH	91.667	60	3	2	1	60	1	58	3.11e-28	107	91.67	GUN25_ARATH Endoglucanase 25
cds.evm.model.02.2522	RHM1_ARATH	95.000	60	3	0	1	60	1	60	1.48e-32	120	96.67	RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1 {ECO:0000305|PubMed:17190829}
cds.evm.model.07.1259	PER47_ARATH	49.057	53	23	2	8	60	10	58	1.26e-07	49.3	69.81	PER47_ARATH Peroxidase 47
cds.evm.model.08.1924	ICMTB_ARATH	58.333	60	24	1	1	60	1	59	1.66e-15	69.3	75.00	ICMTB_ARATH Protein-S-isoprenylcysteine O-methyltransferase B {ECO:0000303|PubMed:12472689}
cds.evm.model.04.2316	GSTX3_TOBAC	70.000	60	18	0	1	60	1	60	3.40e-24	92.4	81.67	GSTX3_TOBAC Probable glutathione S-transferase
cds.novel_model_451_5bd9a17a.1.5bd9b134	EPH2_SIRGR	86.667	60	8	0	1	60	1	60	2.56e-32	115	95.00	EPH2_SIRGR Epoxide hydrolase 2 {ECO:0000303|PubMed:27821754}
cds.novel_model_450_5bd9a17a	EPH2_SIRGR	86.667	60	8	0	1	60	1	60	2.56e-32	115	95.00	EPH2_SIRGR Epoxide hydrolase 2 {ECO:0000303|PubMed:27821754}
cds.evm.model.06.1626	C86A1_ARATH	61.290	62	22	1	1	60	1	62	3.41e-17	76.3	75.81	C86A1_ARATH Cytochrome P450 86A1
cds.evm.model.10.1245.2.5bd9b13d	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.evm.model.10.1245.5.5bd9b13d	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.evm.model.10.1245.4.5bd9b13d	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.evm.model.10.1245.1.5bd9b13d	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.evm.model.10.1245	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.evm.model.10.1245.6.5bd9b13d	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.evm.model.10.1245.3.5bd9b13d	ARF2_ORYSJ	100.000	60	0	0	1	60	1	60	6.21e-36	121	100.00	ARF2_ORYSJ ADP-ribosylation factor 2
cds.novel_model_2091_5bd9a17a.1.5bd9b136	ASPR_CUCPE	56.604	53	20	1	8	60	11	60	5.94e-10	55.8	75.47	ASPR_CUCPE Aspartic proteinase
cds.novel_model_2090_5bd9a17a	ASPR_CUCPE	56.604	53	20	1	8	60	11	60	5.94e-10	55.8	75.47	ASPR_CUCPE Aspartic proteinase
cds.novel_model_2092_5bd9a17a.2.5bd9b136	APA1_ARATH	75.000	60	15	0	1	60	302	361	1.20e-25	100	90.00	APA1_ARATH Aspartic proteinase A1
cds.evm.model.07.958	Y4445_ARATH	65.854	41	11	2	8	46	28	67	1.62e-06	44.7	70.73	Y4445_ARATH Uncharacterized protein At4g14450, chloroplastic
cds.evm.model.09.272	TBL3_ARATH	64.407	59	21	0	2	60	67	125	1.72e-21	88.2	83.05	TBL3_ARATH Protein trichome birefringence-like 3
cds.evm.model.01.709	YUC10_ARATH	64.815	54	19	0	7	60	4	57	1.44e-18	80.1	79.63	YUC10_ARATH Probable indole-3-pyruvate monooxygenase YUCCA10
cds.evm.model.08.330	CESA7_ARATH	88.333	60	7	0	1	60	1	60	1.32e-33	123	95.00	CESA7_ARATH Cellulose synthase A catalytic subunit 7 [UDP-forming] {ECO:0000303|PubMed:11178255, ECO:0000303|PubMed:12805608}
cds.evm.model.01.1076	CCD8_ARATH	77.586	58	13	0	3	60	106	163	2.44e-27	105	89.66	CCD8_ARATH Carotenoid cleavage dioxygenase 8, chloroplastic {ECO:0000303|PubMed:15342640}
cds.evm.model.06.2001	FK132_ARATH	86.667	30	3	1	32	60	36	65	3.70e-09	53.5	90.00	FK132_ARATH F-box/kelch-repeat protein At5g60570
cds.evm.model.09.1185	ERF4_TOBAC	75.000	60	14	1	1	60	1	59	1.16e-23	91.3	81.67	ERF4_TOBAC Ethylene-responsive transcription factor 4
cds.evm.model.05.1861	PTR47_ARATH	81.356	59	11	0	2	60	147	205	6.75e-27	103	89.83	PTR47_ARATH Protein NRT1/ PTR FAMILY 7.2
cds.evm.model.10.1937	EST_HEVBR	71.930	57	16	0	4	60	30	86	3.61e-21	87.0	78.95	EST_HEVBR Esterase
cds.evm.model.07.755	GDL80_ARATH	64.583	48	17	0	9	56	21	68	7.32e-16	72.4	87.50	GDL80_ARATH GDSL esterase/lipase At5g37690
cds.evm.model.09.381	PIP12_MUSAC	90.000	60	5	1	1	60	1	59	9.61e-34	117	93.33	PIP12_MUSAC Aquaporin PIP1-2 {ECO:0000303|PubMed:23745761, ECO:0000303|PubMed:26307965}
cds.evm.model.04.1362	KIRO_ACTDE	43.137	51	29	0	5	55	5	55	2.95e-07	47.0	64.71	KIRO_ACTDE Kirola {ECO:0000303|PubMed:21309790}
cds.evm.model.02.2791	CYT5_ARATH	54.054	37	17	0	24	60	23	59	8.01e-08	48.1	72.97	CYT5_ARATH Cysteine proteinase inhibitor 5
cds.novel_model_5325_5bd9a17a.1.5bd9b13a	GUX1_ARATH	66.667	51	17	0	1	51	449	499	3.90e-19	82.0	84.31	GUX1_ARATH UDP-glucuronate:xylan alpha-glucuronosyltransferase 1
cds.novel_model_5324_5bd9a17a	GUX1_ARATH	66.667	51	17	0	1	51	449	499	3.90e-19	82.0	84.31	GUX1_ARATH UDP-glucuronate:xylan alpha-glucuronosyltransferase 1
cds.evm.model.07.527	LFG5_ARATH	61.765	68	17	2	2	60	5	72	8.67e-20	81.6	73.53	LFG5_ARATH BI1-like protein
cds.evm.model.06.109	AMYA_VIGMU	81.667	60	11	0	1	60	74	133	2.71e-29	109	90.00	AMYA_VIGMU Alpha-amylase
cds.evm.model.10.1011	B561G_ARATH	65.854	41	14	0	19	59	20	60	3.58e-14	67.8	87.80	B561G_ARATH Cytochrome b561 and DOMON domain-containing protein At2g04850
cds.evm.model.02.1330	ERF18_ARATH	71.667	60	17	0	1	60	1	60	3.04e-22	87.0	80.00	ERF18_ARATH Ethylene-responsive transcription factor ERF018
cds.evm.model.05.1033	LSI3_ORYSJ	70.000	60	18	0	1	60	1	60	1.39e-21	88.6	86.67	LSI3_ORYSJ Silicon efflux transporter LSI3 {ECO:0000303|PubMed:26283388}
cds.evm.model.04.312	C71BV_ARATH	56.364	55	24	0	5	59	6	60	5.43e-13	64.3	65.45	C71BV_ARATH Cytochrome P450 71B34
cds.evm.model.10.702	PDCB3_ARATH	58.333	60	24	1	1	60	1	59	9.08e-20	80.1	76.67	PDCB3_ARATH PLASMODESMATA CALLOSE-BINDING PROTEIN 3
cds.evm.model.09.1256	BBE15_ARATH	43.750	48	26	1	13	60	31	77	5.43e-07	47.4	68.75	BBE15_ARATH Monolignol oxidoreductase AtBBE-like 15 {ECO:0000303|PubMed:26037923}
cds.novel_model_2505_5bd9a17a	PAL1_SOYBN	77.586	58	10	1	3	60	11	65	1.21e-23	94.7	84.48	PAL1_SOYBN Phenylalanine ammonia-lyase 1
cds.evm.model.01.1387	VITH3_ARATH	75.000	48	9	1	16	60	4	51	8.13e-17	72.8	81.25	VITH3_ARATH Vacuolar iron transporter homolog 3 {ECO:0000305}
cds.evm.model.05.937.1.5bd9b13a	PRR3_JUNVI	48.077	52	27	0	9	60	2	53	4.69e-12	58.5	61.54	PRR3_JUNVI Pathogenesis-related protein
cds.evm.model.05.937	PRR3_JUNVI	48.077	52	27	0	9	60	2	53	4.69e-12	58.5	61.54	PRR3_JUNVI Pathogenesis-related protein
cds.evm.model.01.1336	PER12_ARATH	36.066	61	38	1	1	60	1	61	5.11e-06	44.7	59.02	PER12_ARATH Peroxidase 12
cds.evm.model.02.2541	Y5343_ARATH	58.824	51	17	1	1	51	1	47	8.02e-11	58.2	72.55	Y5343_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g53430
cds.evm.model.05.1113.2.5bd9b13a	TBB1_SOYBN	86.667	60	8	0	1	60	1	60	1.89e-33	120	93.33	TBB1_SOYBN Tubulin beta-1 chain
cds.evm.model.05.1113	TBB1_SOYBN	86.667	60	8	0	1	60	1	60	1.89e-33	120	93.33	TBB1_SOYBN Tubulin beta-1 chain
cds.evm.model.05.1113.1.5bd9b13a	TBB1_SOYBN	86.667	60	8	0	1	60	1	60	1.89e-33	120	93.33	TBB1_SOYBN Tubulin beta-1 chain
cds.evm.model.06.416	SUC4_ARATH	71.667	60	16	1	1	60	19	77	1.48e-20	85.9	78.33	SUC4_ARATH Sucrose transport protein SUC4 {ECO:0000303|PubMed:12529515, ECO:0000303|PubMed:21668536}
cds.evm.model.02.1712	AATP4_ARATH	51.923	52	25	0	7	58	8	59	4.61e-12	61.6	73.08	AATP4_ARATH AAA-ATPase At2g46620
cds.evm.model.03.1750	DTX42_ARATH	70.690	58	17	0	3	60	13	70	2.08e-11	60.1	81.03	DTX42_ARATH Protein DETOXIFICATION 42 {ECO:0000303|PubMed:11739388}
cds.novel_model_3092_5bd9a17a	MIF2_ARATH	65.625	64	18	2	1	60	1	64	3.12e-18	73.9	82.81	MIF2_ARATH Mini zinc finger protein 2
cds.evm.model.05.1253	HSP7N_ARATH	98.333	60	1	0	1	60	1	60	6.71e-36	129	100.00	HSP7N_ARATH Heat shock 70 kDa protein 18
cds.evm.model.02.727	TET6_ARATH	81.667	60	11	0	1	60	1	60	4.97e-26	98.6	90.00	TET6_ARATH Tetraspanin-6
cds.evm.model.06.1699.3.5bd9b13b	UBC4_SOLLC	98.333	60	1	0	1	60	30	89	5.10e-39	128	98.33	UBC4_SOLLC Ubiquitin-conjugating enzyme E2-17 kDa
cds.evm.model.06.1699.2.5bd9b13b	UBC4_SOLLC	98.333	60	1	0	1	60	1	60	2.02e-38	126	98.33	UBC4_SOLLC Ubiquitin-conjugating enzyme E2-17 kDa
cds.evm.model.06.1699.1.5bd9b13b	UBC4_SOLLC	98.333	60	1	0	1	60	1	60	2.02e-38	126	98.33	UBC4_SOLLC Ubiquitin-conjugating enzyme E2-17 kDa
cds.evm.model.06.1699	UBC4_SOLLC	98.333	60	1	0	1	60	1	60	2.02e-38	126	98.33	UBC4_SOLLC Ubiquitin-conjugating enzyme E2-17 kDa
cds.evm.model.06.1699.5.5bd9b13b	UBC4_SOLLC	98.333	60	1	0	1	60	30	89	5.10e-39	128	98.33	UBC4_SOLLC Ubiquitin-conjugating enzyme E2-17 kDa
cds.evm.model.06.1699.4.5bd9b13b	UBC4_SOLLC	98.333	60	1	0	1	60	1	60	2.02e-38	126	98.33	UBC4_SOLLC Ubiquitin-conjugating enzyme E2-17 kDa
cds.evm.model.10.451	PHO13_ARATH	64.615	65	18	2	1	60	1	65	8.60e-19	80.9	73.85	PHO13_ARATH Phosphate transporter PHO1 homolog 3
cds.evm.model.08.120	C71D9_SOYBN	63.636	55	20	0	1	55	72	126	7.38e-19	80.9	83.64	C71D9_SOYBN Cytochrome P450 71D9
cds.evm.model.01.2327	PHI1_TOBAC	55.357	56	24	1	6	60	3	58	1.04e-13	66.2	75.00	PHI1_TOBAC Protein PHOSPHATE-INDUCED 1 {ECO:0000303|PubMed:10189698}
cds.novel_model_6184_5bd9a17a	PER25_ARATH	65.574	61	20	1	1	60	199	259	2.13e-19	81.6	77.05	PER25_ARATH Peroxidase 25
cds.novel_model_4854_5bd9a17a.1.5bd9b13a	RIC4_ARATH	84.000	25	4	0	1	25	1	25	1.72e-07	47.8	96.00	RIC4_ARATH CRIB domain-containing protein RIC4
cds.novel_model_4853_5bd9a17a	RIC4_ARATH	84.000	25	4	0	1	25	1	25	2.28e-07	47.4	96.00	RIC4_ARATH CRIB domain-containing protein RIC4
cds.evm.model.01.69	PUN1_CAPFR	44.681	47	26	0	14	60	148	194	4.06e-08	50.4	63.83	PUN1_CAPFR Acyltransferase Pun1 {ECO:0000305}
cds.evm.model.01.177	XCP1_ARATH	54.098	61	25	2	1	59	1	60	5.35e-13	64.3	68.85	XCP1_ARATH Cysteine protease XCP1 {ECO:0000305}
cds.novel_model_945_5bd9a17a.1.5bd9b135	COMT2_OCIBA	55.102	49	18	1	10	58	6	50	2.46e-08	51.2	73.47	COMT2_OCIBA Caffeic acid 3-O-methyltransferase 2
cds.novel_model_944_5bd9a17a	COMT2_OCIBA	55.102	49	18	1	10	58	6	50	2.46e-08	51.2	73.47	COMT2_OCIBA Caffeic acid 3-O-methyltransferase 2
cds.evm.model.02.2340	AHL24_ARATH	59.722	72	17	2	1	60	59	130	2.60e-12	62.4	69.44	AHL24_ARATH AT-hook motif nuclear-localized protein 24 {ECO:0000312|EMBL:FAA00295.1}
cds.evm.model.02.2896	AB35G_ARATH	58.182	55	21	1	6	60	11	63	2.94e-14	68.2	81.82	AB35G_ARATH ABC transporter G family member 35
cds.evm.model.02.1197	PER4_VITVI	63.333	60	21	1	1	60	8	66	1.60e-17	76.6	83.33	PER4_VITVI Peroxidase 4 {ECO:0000250|UniProtKB:Q42578}
cds.evm.model.08.1667	CM2_ARATH	66.129	62	18	2	1	60	17	77	1.44e-18	78.6	80.65	CM2_ARATH Chorismate mutase 2 {ECO:0000303|Ref.2}
cds.evm.model.01.2925	EGS1_PETHY	63.095	84	4	1	4	60	3	86	3.48e-24	94.4	65.48	EGS1_PETHY Eugenol synthase 1 {ECO:0000303|PubMed:18208524}
cds.novel_model_861_5bd9a17a.1.5bd9b134	CHI2_PEA	91.667	60	5	0	1	60	182	241	2.29e-35	123	96.67	CHI2_PEA Endochitinase A2
cds.novel_model_862_5bd9a17a.2.5bd9b134	CHIB_POPTR	65.000	60	21	0	1	60	1	60	1.38e-20	84.7	73.33	CHIB_POPTR Acidic endochitinase WIN6.2B
cds.novel_model_860_5bd9a17a	CHIB_POPTR	65.000	60	21	0	1	60	1	60	1.38e-20	84.7	73.33	CHIB_POPTR Acidic endochitinase WIN6.2B
cds.evm.model.04.949	DCE5_ARATH	59.091	44	18	0	17	60	6	49	3.57e-12	62.0	81.82	DCE5_ARATH Glutamate decarboxylase 5
cds.evm.model.04.949.2.5bd9b137.1.5bdae6d9	DCE_SOLLC	88.333	60	7	0	1	60	104	163	5.74e-32	117	93.33	DCE_SOLLC Glutamate decarboxylase
cds.evm.model.04.949.2.5bd9b137	DCE_SOLLC	88.333	60	7	0	1	60	104	163	5.74e-32	117	93.33	DCE_SOLLC Glutamate decarboxylase
cds.evm.model.04.949.1.5bd9b137	DCE5_ARATH	59.091	44	18	0	17	60	6	49	3.57e-12	62.0	81.82	DCE5_ARATH Glutamate decarboxylase 5
cds.evm.model.04.949.2.5bd9b137.2.5bdae6d9	DCE_SOLLC	88.333	60	7	0	1	60	104	163	5.74e-32	117	93.33	DCE_SOLLC Glutamate decarboxylase
cds.evm.model.01.2364	SKP1B_ARATH	91.667	60	5	0	1	60	1	60	6.30e-34	115	95.00	SKP1B_ARATH SKP1-like protein 1B
cds.evm.model.01.2364.1.5bd9b136	SKP1B_ARATH	91.667	60	5	0	1	60	1	60	6.30e-34	115	95.00	SKP1B_ARATH SKP1-like protein 1B
cds.evm.model.10.1017	NSP5_ARATH	50.000	60	30	0	1	60	1	60	1.44e-16	73.9	68.33	NSP5_ARATH Thiohydroximate-O-sulfate sulfur/sulfate-lyase (nitrile-forming) NSP5 {ECO:0000305}
cds.evm.model.10.1017.1.5bd9b13d	NSP5_ARATH	50.000	54	27	0	6	59	9	62	1.56e-14	68.6	70.37	NSP5_ARATH Thiohydroximate-O-sulfate sulfur/sulfate-lyase (nitrile-forming) NSP5 {ECO:0000305}
cds.evm.model.10.2041	HAT5_ARATH	55.357	56	22	2	1	56	1	53	8.88e-11	57.8	69.64	HAT5_ARATH Homeobox-leucine zipper protein HAT5
cds.evm.model.03.157	C7A15_VITVI	66.667	60	20	0	1	60	1	60	1.74e-20	85.5	83.33	C7A15_VITVI Beta-amyrin 28-monooxygenase {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	61.818	55	20	1	4	57	176	230	1.27e-10	57.8	78.18	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	62.500	48	18	0	13	60	65	112	2.80e-09	53.9	83.33	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	63.830	47	17	0	14	60	110	156	2.88e-09	53.9	80.85	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	58.000	50	21	0	11	60	284	333	4.85e-09	53.1	78.00	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	60.417	48	19	0	13	60	87	134	7.31e-09	52.8	83.33	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	64.583	48	17	0	13	60	131	178	7.99e-09	52.8	77.08	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	61.224	49	19	0	9	57	221	269	1.19e-08	52.0	77.55	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	56.140	57	24	1	5	60	34	90	4.19e-08	50.4	73.68	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	54.098	61	17	1	11	60	140	200	1.82e-07	48.9	65.57	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	58.333	48	20	0	13	60	120	167	2.15e-07	48.5	79.17	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	57.692	52	22	0	9	60	260	311	1.46e-06	46.2	71.15	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
cds.evm.model.08.1662	PLPK1_ARATH	64.444	45	13	1	16	60	311	352	5.22e-06	44.7	80.00	PLPK1_ARATH Protein PELPK1 {ECO:0000305}
